procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 781628984  65488 6547264    0    0   649 17524 5100    0  2  0 98  0  0  0
 1  0      0 781546376  65492 6549844    0    0  2080     0 3847  303  1  0 99  0  0  0
 1  0      0 781554440  65492 6549852    0    0     0     0 1050   49  1  0 99  0  0  0
 1  0      0 781554696  65492 6549860    0    0     0     0 1116  226  1  0 99  0  0  0
 1  0      0 781562760  65492 6549864    0    0     0     0 1018   31  1  0 99  0  0  0
 1  0      0 781562760  65492 6549864    0    0     0     0 1012   18  1  0 99  0  0  0
 1  0      0 781562760  65492 6549864    0    0     0     0 1028   38  1  0 99  0  0  0
 1  0      0 781562760  65492 6549864    0    0     0     0 1108  206  1  0 99  0  0  0
 1  0      0 781562760  65492 6549864    0    0     0     0 1016   24  1  0 99  0  0  0
 1  0      0 781562760  65492 6549864    0    0     0     0 1011   16  1  0 99  0  0  0
