CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 4000.0000 800.0000  800.0000
  1    0      0    1 1:1:1:0          yes 4000.0000 800.0000  800.0000
  2    0      0    2 2:2:2:0          yes 4000.0000 800.0000  800.0000
  3    0      0    3 3:3:3:0          yes 4000.0000 800.0000  800.0000
  4    0      0    4 4:4:4:0          yes 4000.0000 800.0000  800.0000
  5    0      0    5 5:5:5:0          yes 4000.0000 800.0000  800.0000
  6    0      0    6 6:6:6:0          yes 4000.0000 800.0000  800.0000
  7    0      0    7 7:7:7:0          yes 4000.0000 800.0000  800.0000
  8    0      0    8 8:8:8:0          yes 4000.0000 800.0000 3817.1340
  9    0      0    9 9:9:9:0          yes 4000.0000 800.0000  800.0000
 10    0      0   10 10:10:10:0       yes 4000.0000 800.0000  800.0000
 11    0      0   11 11:11:11:0       yes 4000.0000 800.0000  800.0000
 12    0      0   12 12:12:12:0       yes 4000.0000 800.0000  800.0000
 13    0      0   13 13:13:13:0       yes 4000.0000 800.0000  800.0000
 14    0      0   14 14:14:14:0       yes 4000.0000 800.0000  800.0000
 15    0      0   15 15:15:15:0       yes 4000.0000 800.0000  800.0000
 16    0      0   16 16:16:16:0       yes 4000.0000 800.0000  800.0000
 17    0      0   17 17:17:17:0       yes 4000.0000 800.0000  800.0000
 18    0      0   18 18:18:18:0       yes 4000.0000 800.0000  800.0000
 19    0      0   19 19:19:19:0       yes 4000.0000 800.0000  800.0000
 20    0      0   20 20:20:20:0       yes 4000.0000 800.0000  800.0000
 21    0      0   21 21:21:21:0       yes 4000.0000 800.0000  800.0000
 22    0      0   22 22:22:22:0       yes 4000.0000 800.0000  800.0000
 23    0      0   23 23:23:23:0       yes 4000.0000 800.0000  800.0000
 24    0      0   24 24:24:24:0       yes 4000.0000 800.0000  800.0000
 25    0      0   25 25:25:25:0       yes 4000.0000 800.0000  800.0000
 26    0      0   26 26:26:26:0       yes 4000.0000 800.0000  800.0000
 27    0      0   27 27:27:27:0       yes 4000.0000 800.0000  800.0000
 28    0      0   28 28:28:28:0       yes 4000.0000 800.0000 3980.2000
 29    0      0   29 29:29:29:0       yes 4000.0000 800.0000  800.0000
 30    0      0   30 30:30:30:0       yes 4000.0000 800.0000 3796.9619
 31    0      0   31 31:31:31:0       yes 4000.0000 800.0000  800.0000
 32    0      0   32 32:32:32:0       yes 4000.0000 800.0000  800.0000
 33    0      0   33 33:33:33:0       yes 4000.0000 800.0000  800.0000
 34    0      0   34 34:34:34:0       yes 4000.0000 800.0000  800.0000
 35    0      0   35 35:35:35:0       yes 4000.0000 800.0000  800.0000
 36    0      0   36 36:36:36:0       yes 4000.0000 800.0000  800.0000
 37    0      0   37 37:37:37:0       yes 4000.0000 800.0000  800.0000
 38    0      0   38 38:38:38:0       yes 4000.0000 800.0000  800.0000
 39    0      0   39 39:39:39:0       yes 4000.0000 800.0000  800.0000
 40    0      0   40 40:40:40:0       yes 4000.0000 800.0000  800.0000
 41    0      0   41 41:41:41:0       yes 4000.0000 800.0000  800.0000
 42    0      0   42 42:42:42:0       yes 4000.0000 800.0000  800.0000
 43    0      0   43 43:43:43:0       yes 4000.0000 800.0000  800.0000
 44    0      0   44 44:44:44:0       yes 4000.0000 800.0000  800.0000
 45    0      0   45 45:45:45:0       yes 4000.0000 800.0000  800.0000
 46    0      0   46 46:46:46:0       yes 4000.0000 800.0000  800.0000
 47    0      0   47 47:47:47:0       yes 4000.0000 800.0000  800.0000
 48    0      0    0 0:0:0:0          yes 4000.0000 800.0000  800.0000
 49    0      0    1 1:1:1:0          yes 4000.0000 800.0000  800.0000
 50    0      0    2 2:2:2:0          yes 4000.0000 800.0000  800.0000
 51    0      0    3 3:3:3:0          yes 4000.0000 800.0000  800.0000
 52    0      0    4 4:4:4:0          yes 4000.0000 800.0000  800.0000
 53    0      0    5 5:5:5:0          yes 4000.0000 800.0000  800.0000
 54    0      0    6 6:6:6:0          yes 4000.0000 800.0000  800.0000
 55    0      0    7 7:7:7:0          yes 4000.0000 800.0000  800.0000
 56    0      0    8 8:8:8:0          yes 4000.0000 800.0000 3778.5520
 57    0      0    9 9:9:9:0          yes 4000.0000 800.0000 4006.9080
 58    0      0   10 10:10:10:0       yes 4000.0000 800.0000 4003.9961
 59    0      0   11 11:11:11:0       yes 4000.0000 800.0000 3479.5081
 60    0      0   12 12:12:12:0       yes 4000.0000 800.0000 3671.3369
 61    0      0   13 13:13:13:0       yes 4000.0000 800.0000 4003.7339
 62    0      0   14 14:14:14:0       yes 4000.0000 800.0000 4000.0000
 63    0      0   15 15:15:15:0       yes 4000.0000 800.0000 3702.2271
 64    0      0   16 16:16:16:0       yes 4000.0000 800.0000  800.0000
 65    0      0   17 17:17:17:0       yes 4000.0000 800.0000  800.0000
 66    0      0   18 18:18:18:0       yes 4000.0000 800.0000  800.0000
 67    0      0   19 19:19:19:0       yes 4000.0000 800.0000  800.0000
 68    0      0   20 20:20:20:0       yes 4000.0000 800.0000  800.0000
 69    0      0   21 21:21:21:0       yes 4000.0000 800.0000  800.0000
 70    0      0   22 22:22:22:0       yes 4000.0000 800.0000  800.0000
 71    0      0   23 23:23:23:0       yes 4000.0000 800.0000 4005.8911
 72    0      0   24 24:24:24:0       yes 4000.0000 800.0000  800.0000
 73    0      0   25 25:25:25:0       yes 4000.0000 800.0000  800.0000
 74    0      0   26 26:26:26:0       yes 4000.0000 800.0000  800.0000
 75    0      0   27 27:27:27:0       yes 4000.0000 800.0000  800.0000
 76    0      0   28 28:28:28:0       yes 4000.0000 800.0000  800.0000
 77    0      0   29 29:29:29:0       yes 4000.0000 800.0000  800.0000
 78    0      0   30 30:30:30:0       yes 4000.0000 800.0000  800.0000
 79    0      0   31 31:31:31:0       yes 4000.0000 800.0000  800.0000
 80    0      0   32 32:32:32:0       yes 4000.0000 800.0000  800.0000
 81    0      0   33 33:33:33:0       yes 4000.0000 800.0000  800.0000
 82    0      0   34 34:34:34:0       yes 4000.0000 800.0000  800.0000
 83    0      0   35 35:35:35:0       yes 4000.0000 800.0000  800.0000
 84    0      0   36 36:36:36:0       yes 4000.0000 800.0000  800.0000
 85    0      0   37 37:37:37:0       yes 4000.0000 800.0000  800.0000
 86    0      0   38 38:38:38:0       yes 4000.0000 800.0000  800.0000
 87    0      0   39 39:39:39:0       yes 4000.0000 800.0000  800.0000
 88    0      0   40 40:40:40:0       yes 4000.0000 800.0000  800.0000
 89    0      0   41 41:41:41:0       yes 4000.0000 800.0000  800.0000
 90    0      0   42 42:42:42:0       yes 4000.0000 800.0000  800.0000
 91    0      0   43 43:43:43:0       yes 4000.0000 800.0000  800.0000
 92    0      0   44 44:44:44:0       yes 4000.0000 800.0000  800.0000
 93    0      0   45 45:45:45:0       yes 4000.0000 800.0000  800.0000
 94    0      0   46 46:46:46:0       yes 4000.0000 800.0000  800.0000
 95    0      0   47 47:47:47:0       yes 4000.0000 800.0000  800.0000
