procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 782947884  65692 6550432    0    0   236  6369 7318    0  6  0 94  0  0  0
 1  0      0 781729332  65692 6550440    0    0     0     0 1297  152  1  0 99  0  0  0
 2  0      0 779811108  65692 6550448    0    0     0     0 1026   30  1  0 99  0  0  0
48  0      0 779133060  65692 6550456    0    0     0     0 32160 1216 33  0 66  1  0  0
48  0      0 779148452  65692 6550468    0    0     0     0 45348  232 47  0 53  0  0  0
48  0      0 779156276  65692 6550480    0    0     0     0 48907  154 50  0 50  0  0  0
49  0      0 779164340  65692 6550488    0    0     0     0 48961   48 50  0 50  0  0  0
 2  0      0 783007092  65692 6550500    0    0     0     0 38331  571 38  0 62  0  0  0
 1  0      0 783024192  65692 6550520    0    0     0     0 1369  170  0  0 100  0  0  0
 0  0      0 783032528  65692 6550528    0    0     0     0  151   59  0  0 100  0  0  0
 0  0      0 783056256  65692 6550540    0    0     0     0  137   56  0  0 100  0  0  0
 0  0      0 783064320  65692 6550548    0    0     0     0  332  245  0  0 100  0  0  0
 0  0      0 783088784  65692 6550556    0    0     0     0  150   26  0  0 100  0  0  0
 0  0      0 783096880  65700 6550568    0    0     0    40  137   40  0  0 100  0  0  0
 0  0      0 783120220  65700 6550584    0    0     0     0   82   34  0  0 100  0  0  0
